Date,Location,Median Sale Price,Median Sale Price MoM,Median Sale Price YoY,Homes Sold,Homes Sold MoM,Homes Sold YoY
2022-10-01,"Charlottesville, VA",393,0.06,0.01,64,0.02,-0.26
2022-10-01,"Fifeville, VA",418,-0.14,0.19,8,1.0,-0.53
2022-10-01,"Martha Jefferson, VA",470,0.12,0.24,5,-0.38,0.0
2022-11-01,"Martha Jefferson, VA",470,0.27,-0.31,3,-0.67,-0.25
2022-11-01,"Belmont, VA",329,0.2,-0.167,23,-0.13,0.045
2022-11-01,"Jefferson Park, VA",365,0.67,0.31,6,0.5,-0.5
2022-11-01,"Venable, VA",875,-0.38,0.229,4,0.5,0.333
2022-11-01,"Fry's Spring, VA",373,-0.07,-0.07,17,-0.29,-0.19
2022-11-01,"Fifeville, VA",370,-0.21,0.06,9,0.8,-0.36
2022-11-01,"Charlottesville, VA",425,0.08,0.06,82,0.28,-0.13
2022-12-01,"Charlottesville, VA",457,0.08,0.14,80,-0.02,-0.27
2022-12-01,"Jefferson Park, VA",355,-0.03,-0.03,7,0.17,-0.3
2022-12-01,"Fifeville, VA",290,-0.38,-0.17,8,1.67,-0.47
2022-12-01,"Fry's Spring, VA",360,-0.03,-0.07,19,0.12,-0.21
2022-12-01,"Belmont, VA",413,0.26,0.033,20,-0.15,-0.0909
2022-12-01,"Venable, VA",741,-0.15,1.132,6,0.0,1.0
2022-12-01,"Martha Jefferson, VA",992,2.42,1.11,2,-0.75,-0.33
2023-01-01,"Jefferson Park, VA",355,0.0,0.42,8,0.14,0.14
2023-01-01,"Charlottesville, VA",418,-0.09,0.2,40,-0.5,-0.13
2023-01-01,"Fry's Spring, VA",350,-0.03,-0.09,14,-0.26,-0.12
2023-01-01,"Belmont, VA",485,0.17,0.216,17,-0.18,-0.261
2023-01-01,"Martha Jefferson, VA",1600,3.6,3.69,1,-0.9,-0.67
2023-01-01,"Venable, VA",741,0.0,1.27,6,-0.5,2.0
2023-01-01,"Fifeville, VA",348,-0.65,0.22,10,4.0,-0.29
2023-02-01,"Belmont, VA",461,-0.05,0.154,14,-0.29,-0.364
2023-02-01,"Venable, VA",225,-0.7,-0.352,3,-0.33,0.0
2023-02-01,"Charlottesville, VA",366,-0.12,-0.08,41,0.02,-0.44
2023-02-01,"Fifeville, VA",335,-0.79,-0.04,7,6.0,-0.5
2023-02-01,"Martha Jefferson, VA",685,1.04,1.25,3,-0.57,0.0
2023-02-01,"Jefferson Park, VA",273,-0.23,0.18,4,-0.5,-0.33
2023-02-01,"Fry's Spring, VA",350,0.0,-0.08,15,0.07,0.0
2023-03-01,"Belmont, VA",396,-0.14,0.021,10,0.2,-0.231
2023-03-01,"Fifeville, VA",361,-0.47,0.0,9,2.0,-0.25
2023-03-01,"Jefferson Park, VA",321,0.18,0.33,4,0.0,-0.33
2023-03-01,"Fry's Spring, VA",355,0.01,-0.07,11,-0.27,-0.35
2023-03-01,"Charlottesville, VA",358,-0.02,-0.3,49,0.2,-0.5
2023-03-01,"Martha Jefferson, VA",595,0.65,0.77,2,-0.78,-0.6
2023-03-01,"Venable, VA",665,1.96,-0.074,2,0.5,-0.5
2023-04-01,"Charlottesville, VA",509,0.42,0.02,73,0.49,-0.36
2023-04-01,"Belmont, VA",447,0.13,-0.0045,12,0.58,-0.429
2023-04-01,"Jefferson Park, VA",321,0.0,-0.3,4,0.0,-0.43
2023-04-01,"Fry's Spring, VA",402,0.13,0.03,13,0.18,-0.32
2023-04-01,"Venable, VA",946,0.42,0.316,3,0.67,-0.25
2023-04-01,"Fifeville, VA",296,-0.5,-0.18,8,3.0,-0.38
2023-04-01,"Martha Jefferson, VA",506,0.71,0.55,7,-0.12,0.17
2023-05-01,"Martha Jefferson, VA",470,0.53,0.21,9,-0.25,0.12
